resource_name,observed_value,record_id
rice straw,1.6,20
pluot off-spec canned products,,82
spent oak chips,,26
wheat straw,1.0,27
almond stick char,,93
orange peel,,39
pistachio hulls,,17
pluot rejects,,66
potato culls-yellow,,89
plum peels,,57
unused oak stick,,31
lees,,34
corn stover cobs,,12
peach screening waste,,10
almond hulls,,18
pluot seeds,,64
pear seeds,,71
rice hulls,,2
pear stems / leaves,,72
apricot stems / leaves,1.5,47
apricot seeds,,46
plum off-spec canned products,,83
peach pomace,,15
plum screening waste,,77
apricot screening waste,,73
peach rejects,,56
compost overs,,40
corn stover husks,,13
almond shells,,21
olive pomace,,5
corn stover whole,2.3,19
pluot stems / leaves,,65
nectarine stems / leaves,,52
walnut waste kernels,,85
walnut hulls,,32
apricot off-spec canned products,,78
corn stover stalks,2.3,24
peach seeds,,55
pear peels,,68
orange pomace,,38
sweet potato culls,,8
peach off-spec canned products,,80
diatomaceous earth (wine),,110
apricot rejects,,48
almond branches,1.5,28
walnut shelling debris,,94
tomato pomace,,30
olive prunings,0.7,95
pluot peels,,62
wheat hay,1.0,67
nectarine pomace,,50
nectarine seeds,,51
pluot screening waste,,76
pear pomace,,69
pear off-spec canned products,,81
potato culls,,42
potato culls-white,,90
plum seeds,,59
cucumber culls,0.2,84
nectarine screening waste,,74
cotton stem mix,1.3,6
dairy manure,,41
pistachio stems & leaves,,16
peach peels,,54
nectarine off-spec canned,,103
pistachio shells,,36
grape vines,1.1,4
nectarine rejects,,53
spent oak stick,,92
olive stems / leaves,,23
apricot peels,,44
plum pomace,,58
spent yeast,,1
walnut hulling discharge,,86
nectarine peels,,49
grape stem,1.1,22
pear rejects,,70
apricot pomace,,45
plum stems / leaves,,60
pear screening waste,,75
municipal solid waste paper rich,,43
grape pomace,,3
plum rejects,,61
blend,,87
walnut tree sticks,0.6,14
walnut shells,,35
pluot pomace,,63
walnut shelling fines,,9
potato culls-red,,88
peach stems / leaves,,7
