resource_name,price_unit,observed_value,record_id
almond hulls,dollars per ton,90.0,20
almond hulls,dollars per ton,80.2,25
almond hulls,dollars per ton,88.0,26
almond hulls,dollars per ton,142.95,27
almond hulls,dollars per ton,65.4,11
almond shells,dollars per ton,39.3,39
almond hulls,dollars per ton,96.5,17
almond hash,dollars per ton,1826.0,66
almond shells,dollars per ton,16.61,33
almond shells,dollars per ton,4.5,57
almond hulls,dollars per ton,252.26,31
almond shells,dollars per ton,38.35,34
almond hulls,dollars per ton,70.0,12
almond hulls,dollars per ton,217.0,10
almond hulls,dollars per ton,88.7,18
almond hash,dollars per ton,1614.0,64
almond hash,dollars per ton,2160.0,71
almond hulls,dollars per ton,74.1,2
almond hash,dollars per ton,3140.0,72
almond shells,dollars per ton,4.4,47
almond shells,dollars per ton,4.0,46
almond hulls,dollars per ton,66.95,15
almond hash,dollars per ton,3140.0,73
almond shells,dollars per ton,5.93,56
almond shells,dollars per ton,23.78,40
almond hulls,dollars per ton,65.0,13
almond hulls,dollars per ton,95.6,21
almond hulls,dollars per ton,72.2,5
almond hulls,dollars per ton,100.48,19
almond hash,dollars per ton,1614.0,65
almond shells,dollars per ton,4.54,52
almond shells,dollars per ton,34.88,37
almond hulls,dollars per ton,213.0,32
almond hulls,dollars per ton,100.0,24
almond shells,dollars per ton,6.39,55
almond hash,dollars per ton,2442.0,68
almond shells,dollars per ton,29.67,38
almond hulls,dollars per ton,209.0,8
almond shells,dollars per ton,5.62,48
almond hulls,dollars per ton,130.0,28
almond hulls,dollars per ton,133.1,30
almond shells,dollars per ton,5.86,62
almond hash,dollars per ton,1826.0,67
almond shells,dollars per ton,6.68,50
almond shells,dollars per ton,5.5,51
almond hash,dollars per ton,2442.0,69
almond shells,dollars per ton,4.6,42
almond shells,dollars per ton,6.8,59
almond hulls,dollars per ton,135.7,6
almond hulls,dollars per ton,130.04,29
almond shells,dollars per ton,29.1,41
almond hulls,dollars per ton,90.0,16
almond shells,dollars per ton,7.8,54
almond shells,dollars per ton,32.02,36
almond hulls,dollars per ton,75.0,4
almond shells,dollars per ton,4.0,53
almond hulls,dollars per ton,88.78,23
almond shells,dollars per ton,5.57,44
almond shells,dollars per ton,8.46,58
almond hulls,dollars per ton,194.55,1
almond shells,dollars per ton,3.0,49
almond hulls,dollars per ton,96.6,22
almond hash,dollars per ton,2160.0,70
almond shells,dollars per ton,4.7,45
almond shells,dollars per ton,9.46,60
almond shells,dollars per ton,20.0,43
almond hulls,dollars per ton,75.24,3
almond shells,dollars per ton,4.3,61
almond hulls,dollars per ton,66.1,14
almond shells,dollars per ton,37.0,35
almond shells,dollars per ton,6.01,63
almond hulls,dollars per ton,123.99,9
almond hulls,dollars per ton,109.29,7
